Fecha,AAPL,SPY,EWZ,CEPU,IBM,Tipo_Cambio_ARSUSD,TNA_PlazoFijo,Tasa_PlazoFijo_Diaria,Retorno_AAPL,Retorno_SPY,Retorno_EWZ,Retorno_CEPU,Retorno_IBM,IBM_USD_Original,TOTAL_CARTERA,Retorno_TOTAL_CARTERA
2025-03-07,14600.0,35149.93,15200.0,1495,6601.475060372893,1219.8,28.4,0.0007780821917808218,0.005163511187607606,-0.008462640123689913,0.0,-0.003333333333333299,0.03337196171823309,258.0662536621094,22355.45231645927,-0.004322895673448679
2025-03-10,13950.0,34399.93,14900.0,1420,6522.632897630492,1227.0,26.61,0.000729041095890411,-0.04452054794520544,-0.02133716909251315,-0.01973684210526316,-0.05016722408026753,-0.011943113019644902,253.4878997802734,21792.203483032165,-0.025195143692637756
2025-03-11,13600.0,34299.93,15025.0,1430,6333.147674939526,1229.4,27.79,0.0007613698630136986,-0.02508960573476704,-0.002906982659557689,0.008389261744966348,0.007042253521126751,-0.0290504196180964,245.6434936523438,21668.323807805602,-0.005684586936012148
2025-03-12,13325.0,34399.93,15075.0,1530,6353.545946363891,1230.0,27.48,0.0007528767123287671,-0.02022058823529416,0.002915457844957725,0.003327787021630613,0.06993006993007,0.003220874116844241,246.3144683837891,21652.85441364126,-0.0007139174354948707
2025-03-13,12900.0,33999.93,15325.0,1485,6285.056523240421,1235.7,28.23,0.0007734246575342465,-0.03189493433395874,-0.01162793063823098,0.01658374792703143,-0.02941176470588236,-0.010779716350783008,242.5353240966797,21407.06356894029,-0.011351429239099375
2025-03-14,13225.0,34949.93,16050.0,1535,6386.2328195702685,1242.7,27.78,0.000761095890410959,0.02519379844961245,0.02794123399665827,0.04730831973898852,0.03367003367003374,0.016097913512110207,245.0514678955078,22048.182830907703,0.029948958665102277
2025-03-17,13450.0,35649.93,16625.0,1535,6563.13856347201,1253.8,28.07,0.000769041095890411,0.01701323251417763,0.02002865241790186,0.03582554517133962,0.0,0.02770111095223826,249.610107421875,22527.857485029628,0.021755745487084033
2025-03-18,13800.0,36424.93,17225.0,1510,6621.063317047398,1295.7,29.59,0.0008106849315068493,0.02602230483271373,0.02173917312039597,0.03609022556390973,-0.01628664495114007,0.00882577032546239,243.6700439453125,23070.46146642815,0.024085911487992107
2025-03-19,13825.0,36524.93,17325.0,1565,6757.449214177935,1294.4,29.67,0.0008128767123287672,0.001811594202898448,0.002745372468800911,0.005805515239477588,0.03642384105960272,0.02059879064732395,248.9391174316406,23149.561374940058,0.0034286227272486425
2025-03-20,13775.0,36399.93,17150.0,1585,6476.913813975508,1286.4,29.53,0.000809041095890411,-0.003616636528028905,-0.003422320042776317,-0.01010101010101006,0.0127795527156549,-0.041514984620798945,240.0882720947266,23035.172976148795,-0.004941277155907198
2025-03-21,14025.0,36400.0,17125.0,1625,6563.716213025306,1300.7,28.57,0.0007827397260273972,0.01814882032667886,1.923080621191176e-06,-0.001457725947521915,0.02523659305993697,0.013401814744315566,240.6309661865234,23105.23357550102,0.0030414618299055007
2025-03-25,14525.0,37325.0,17175.0,1615,6712.567623950015,1298.1,28.83,0.0007898630136986301,0.035650623885918,0.02541208791208782,0.002919708029197166,-0.006153846153846176,0.02267791691379384,246.5808715820312,23654.585534618553,0.023776083341569
2025-03-26,14375.0,36950.0,17125.0,1575,6724.38611851946,1298.1,29.3,0.0008027397260273973,-0.0103270223752151,-0.01004688546550569,-0.002911208151382794,-0.02476780185758509,0.0017606518446497965,247.0150146484375,23441.97535296932,-0.008988116969459448
2025-03-27,14525.0,36825.0,17075.0,1545,6623.130823464592,1300.0,30.72,0.0008416438356164383,0.01043478260869568,-0.003382949932341006,-0.002919708029197055,-0.01904761904761909,-0.015057923990415056,242.9398956298828,23412.382423290826,-0.0012623906148226949
2025-03-28,14250.0,36350.0,17000.0,1510,6675.768101009741,1322.2,28.82,0.0007895890410958904,-0.01893287435456115,-0.01289884589273593,-0.004392386530014614,-0.02265372168284785,0.007947491744940915,240.7592315673828,23120.747850128162,-0.012456424463344828
2025-03-31,14650.0,36775.0,17050.0,1455,6787.827872515006,1319.2,29.46,0.000807123287671233,0.02807017543859658,0.01169188445667135,0.002941176470588225,-0.03642384105960261,0.01678604915714721,245.3573303222656,23423.966332147644,0.013114562036876443
2025-04-01,14600.0,36725.0,17175.0,1485,6815.039193840384,1315.6,31.07,0.0008512328767123288,-0.003412969283276501,-0.001359619306594118,0.007331378299120228,0.02061855670103085,0.004008840800981517,247.0150146484375,23415.777261939245,-0.00034960220196178504
2025-04-03,13425.0,35500.0,17325.0,1460,6643.67648058525,1318.6,30.84,0.0008449315068493151,-0.08047945205479456,-0.03335602450646702,0.008733624454148492,-0.01683501683501687,-0.025144787635266397,240.2560119628906,22589.338803684193,-0.03529408607752571
2025-04-04,12625.0,33875.0,16375.0,1340,6282.153959474976,1334.6,29.66,0.0008126027397260274,-0.05959031657355685,-0.04577464788732399,-0.05483405483405479,-0.0821917808219178,-0.05441603337651191,224.4586334228516,21469.2155611636,-0.049586366925352676
2025-04-07,12275.0,34325.0,16350.0,1295,6371.627876331023,1363.8,30.6,0.0008383561643835617,-0.02772277227722775,0.01328413284132846,-0.001526717557251867,-0.03358208955223885,0.014242553976427041,222.7812194824219,21564.92946437424,0.004458192845377074
2025-04-08,11800.0,33950.0,16050.0,1255,6290.177892544342,1375.3,31.03,0.0008501369863013699,-0.03869653767820769,-0.01092498179169699,-0.01834862385321101,-0.03088803088803094,-0.012783229869598456,218.0943145751953,21211.82866517317,-0.01637384438397549
2025-04-09,13300.0,36575.0,16675.0,1370,6620.1189798894975,1359.6,29.84,0.0008175342465753425,0.1271186440677967,0.07731958762886593,0.0389408099688473,0.09163346613545809,0.05245337937679473,232.1846466064453,22887.251088010056,0.07898528925927528
2025-04-10,13025.0,35775.0,16425.0,1360,6494.169509104265,1367.2,30.6,0.0008383561643835617,-0.02067669172932329,-0.02187286397812715,-0.01499250374812588,-0.007299270072992692,-0.019025257879479285,226.5011596679688,22414.810358542152,-0.02064209142684692
2025-04-11,13250.0,35775.0,16425.0,1440,6577.149323283777,1349.8,30.75,0.0008424657534246575,0.01727447216890599,0.0,0.0,0.05882352941176472,0.012777586735791546,232.3523864746094,22484.83956235821,0.0031242380683078608
2025-04-14,12750.0,33850.0,15700.0,1430,6074.625952778518,1228.0,34.02,0.0009320547945205481,-0.03773584905660377,-0.05380852550663873,-0.04414003044140036,-0.00694444444444442,-0.07640443386715823,235.8848419189453,21358.494438687645,-0.050093536160079055
2025-04-15,12575.0,33400.0,15450.0,1400,6116.2993053165255,1228.0,35.13,0.0009624657534246576,-0.01372549019607838,-0.01329394387001481,-0.01592356687898089,-0.02097902097902093,0.0068602335126406455,237.5030670166016,21071.27961702055,-0.013447334618625906
2025-04-16,11450.0,30950.0,14600.0,1320,5879.519767478378,1191.0,36.87,0.00101013698630137,-0.08946322067594437,-0.07335329341317365,-0.05501618122977348,-0.05714285714285716,-0.038712876204787694,235.4013519287109,19537.07800677904,-0.07281008263979583
2025-04-21,10900.0,29100.0,14225.0,1240,5557.652579553775,1137.0,34.03,0.0009323287671232877,-0.04803493449781659,-0.05977382875605819,-0.02568493150684936,-0.06060606060606055,-0.054743788719779474,233.0825653076172,18501.422541706255,-0.05300974202556952
2025-04-22,11575.0,30450.0,14925.0,1305,5693.682233700833,1142.2,33.87,0.000927945205479452,0.06192660550458706,0.04639175257731964,0.04920913884007039,0.05241935483870974,0.024476098892453724,237.7004089355469,19407.044699075665,0.04894878517194767
2025-04-23,12125.0,31700.0,15550.0,1355,6045.751920831148,1190.2,32.84,0.0008997260273972603,0.04751619870410373,0.0410509031198687,0.04187604690117253,0.03831417624521083,0.061835148622523706,242.2195739746094,20232.56733050272,0.04253726645285538
2025-04-24,12525.0,32850.0,16100.0,1330,5708.271913184253,1202.9,33.12,0.0009073972602739725,0.03298969072164959,0.0362776025236593,0.03536977491961424,-0.01845018450184499,-0.055821014832593274,226.2840728759766,20918.666408677127,0.03391062868922434
2025-04-25,12525.0,33125.0,16175.0,1320,5781.089148481503,1202.1,33.54,0.0009189041095890411,0.0,0.008371385083713934,0.004658385093167627,-0.007518796992481258,0.012756441249595296,229.3231658935547,21054.209530358356,0.006479529767012604
2025-04-28,12575.0,32875.0,16200.0,1285,5832.342589902204,1193.5,32.66,0.0008947945205479451,0.003992015968063978,-0.007547169811320753,0.001545595054095905,-0.02651515151515149,0.008865706807888118,233.0233612060547,20966.06560654498,-0.004186522589996966
2025-04-29,12575.0,32975.0,16275.0,1300,5910.130790980013,1193.1,33.03,0.0009049315068493151,0.0,0.003041825095057016,0.004629629629629539,0.01167315175097272,0.013337385429396331,236.21044921875,21028.21981894091,0.002964514828978082
2025-04-30,12650.0,33125.0,16125.0,1260,5957.614303779302,1190.6,32.44,0.0008887671232876711,0.005964214711729587,0.004548900682335155,-0.009216589861751112,-0.03076923076923077,0.008034257528066524,238.6082000732422,21084.84573045051,0.0026928533179302327
2025-05-05,12059.58,34250.0,16250.0,1250,6252.37501267777,1212.6,32.11,0.0008797260273972603,-0.04667351778656126,0.03396226415094339,0.007751937984496138,-0.007936507936507908,0.04947629938236897,245.8704376220703,21446.411504290005,0.0171481346585014
2025-05-06,12059.58,33950.0,16150.0,1290,6262.209938655323,1214.8,33.55,0.0009191780821917807,0.0,-0.008759124087591275,-0.006153846153846176,0.03200000000000003,0.0015729904168593212,245.8112182617188,21301.593224337063,-0.006752564638796255
2025-05-07,11460.35,32725.0,15425.0,1265,6133.114738358138,1169.8,33.0,0.0009041095890410959,-0.04968912681867854,-0.03608247422680411,-0.04489164086687303,-0.01937984496124034,-0.020614958866247313,250.0047912597656,20468.04038455514,-0.03913100916928547
2025-05-08,11410.41,32725.0,15900.0,1265,6066.560614689112,1153.6,32.63,0.0008939726027397261,-0.0043576330565821,0.0,0.03079416531604529,0.0,-0.0108516025719817,250.7645568847656,20540.749929993144,0.0035523452207406603
2025-05-09,11485.31,32675.0,15975.0,1370,6010.544217048157,1157.9,31.8,0.0008712328767123288,0.006564181304615557,-0.001527883880825032,0.004716981132075526,0.08300395256916993,-0.00923363355264617,247.5264434814453,20556.681744857462,0.0007756199222821447
2025-05-12,12150.0,33725.0,15925.0,1425,6118.840324925522,1157.9,32.04,0.0008778082191780821,0.05787305697451783,0.03213465952563133,-0.003129890453834161,0.04014598540145986,0.01801768757813904,251.9862976074219,21186.858001852594,0.03065554376998514
2025-05-13,12350.0,34050.0,16450.0,1470,6131.98855706366,1138.4,32.56,0.000892054794520548,0.01646090534979416,0.00963676797627877,0.03296703296703307,0.03157894736842115,0.002148811121051475,256.8533935546875,21483.080576290944,0.013981430111649873
2025-05-14,12250.0,34025.0,16375.0,1515,6203.953047913761,1155.2,32.06,0.0008783561643835617,-0.0080971659919028,-0.0007342143906020615,-0.00455927051671734,0.03061224489795911,0.011735914080792442,256.0885620117188,21437.494676287974,-0.002121944282668653
2025-05-15,12275.0,34300.0,16300.0,1545,6525.474481411122,1174.7,32.97,0.0009032876712328767,0.002040816326530637,0.008082292432035176,-0.004580152671755711,0.01980198019801982,0.05182525254691939,264.8890380859375,21567.195641978502,0.006050192321866321
2025-05-16,12350.0,34850.0,16425.0,1540,6524.654561325249,1174.2,32.2,0.0008821917808219179,0.006109979633401208,0.01603498542274062,0.007668711656441785,-0.003236245954692518,-0.00012564911382428878,264.9685363769531,21846.785271682093,0.012963652500068035
2025-05-19,12175.0,34650.0,16475.0,1580,6518.046832718814,1165.8,33.1,0.0009068493150684931,-0.01417004048582993,-0.005738880918220945,0.003044140030441511,0.02597402597402598,-0.0010127323284826462,266.6074523925781,21724.89433587073,-0.0055793534058010685
2025-05-20,12050.0,34600.0,16425.0,1630,6493.157519360263,1167.7,33.18,0.0009090410958904109,-0.01026694045174537,-0.001443001443001468,-0.003034901365705611,0.03164556962025311,-0.0038185232474263753,265.1572570800781,21661.55894231571,-0.0029153372428809554
2025-05-21,11750.0,33975.0,16075.0,1565,6351.791060770905,1168.9,31.45,0.0008616438356164383,-0.024896265560166,-0.01806358381502893,-0.0213089802130898,-0.03987730061349692,-0.02177160467274275,259.1180725097656,21234.550156504843,-0.01971274491129571
2025-05-22,11700.0,33875.0,15975.0,1595,6264.548337779212,1164.0,31.97,0.0008758904109589041,-0.004255319148936176,-0.002943340691685115,-0.006220839813374845,0.01916932907348246,-0.013735137405654019,256.6348571777344,21156.132105442954,-0.0036929461883545844
2025-05-23,11375.0,33700.0,16075.0,1585,6260.616878851083,1162.1,32.19,0.0008819178082191781,-0.02777777777777779,-0.005166051660516646,0.006259780907668322,-0.006269592476489061,-0.0006275726063791343,256.8931274414062,21011.074939994352,-0.006856506885362212
2025-05-26,11550.0,33750.0,16175.0,1615,6260.616878851083,1162.1,31.55,0.0008643835616438356,0.01538461538461533,0.001483679525222659,0.006220839813374734,0.01892744479495279,0.0,256.8931274414062,21100.588446266418,0.0042603011282245085
